 198732	M	Aspen Valley	2006	4.1	−20.7	0.947	0.78	0.88	0.95	0.05	0.12	0.22
 117799	M	Crane Flat	2005	3.5	−23.0	0.648	0.83	0.91	0.97	0.03	0.09	0.17
 130069	M	Hogdon	2007	3.8	−23.1	0.849	0.82	0.90	0.96	0.04	0.10	0.18
 130062	M	Foresta	2006	3.6	−22.8	0.751	0.83	0.91	0.97	0.03	0.09	0.17
 125599	M	Yosemite Creek	2007	3.6	−21.6	0.719	0.82	0.91	0.96	0.04	0.09	0.18
 125849	M	Crane Flat	2007	3.6	−22.9	0.667	0.83	0.91	0.97	0.03	0.09	0.17
 130142	M	Mono Pass	2007	3.5	−21.5	0.657	0.83	0.91	0.96	0.04	0.09	0.17
 163347	M	Foresta	2006	3.6	−22.2	0.736	0.82	0.91	0.96	0.04	0.09	0.18
 198847	M	West Valley	2006	3.6	−20.3	0.728	0.81	0.90	0.96	0.04	0.10	0.19
 138675	M	Cloud's Rest	2006	3.5	−20.4	0.590	0.82	0.91	0.97	0.03	0.09	0.18
 130188	F	LYV	2006	4.1	−19.4	0.960	0.77	0.87	0.95	0.05	0.13	0.23
 198706	F	East Valley	2006	3.6	−22.1	0.685	0.82	0.91	0.97	0.03	0.09	0.18
 117749	F	White Wolf	2007	4.3	−21.9	0.978	0.77	0.87	0.95	0.05	0.13	0.23
 162801	F	Pate Valley	2006	4.5	−22.5	0.991	0.76	0.87	0.94	0.06	0.13	0.24
 Mean				3.9	−21.8							
 1 SD				0.4	1.1							
 Total mean				4.4	−21.4							
 1 SD				0.9	0.9							
